feature,term,coef,se,ci_lo,ci_hi
freq_zipf,"C(condition, Sum)[S.neg]",0.32462513112592895,0.012863480735422008,0.299413172168677,0.34983709008318087
freq_zipf,"C(condition, Sum)[S.pos]",-0.4318859089172105,0.013515347651887178,-0.45837550355344736,-0.40539631428097367
word_len,"C(condition, Sum)[S.neg]",-0.30545281161862103,0.01387315343866604,-0.3326436927104045,-0.27826193052683756
word_len,"C(condition, Sum)[S.pos]",0.3989058807232842,0.014393797287669381,0.3706945564386819,0.4271172050078865
dep_dist,"C(condition, Sum)[S.neg]",0.02545681380865854,0.010523515755549006,0.0048311019370426735,0.046082525680274405
dep_dist,"C(condition, Sum)[S.pos]",-0.014372540162512638,0.01087713747948239,-0.03569133787718891,0.006946257552163628
depth,"C(condition, Sum)[S.neg]",0.1430504366474549,0.015963252921861727,0.11176303584450213,0.17433783745040765
depth,"C(condition, Sum)[S.pos]",-0.1295088179173053,0.016280663235405047,-0.16141833150312457,-0.09759930433148607
integration_cost,"C(condition, Sum)[S.neg]",0.04995691215574686,0.01085879267635932,0.02867406959449529,0.07123975471699842
integration_cost,"C(condition, Sum)[S.pos]",-0.0464119059646417,0.011300715805278307,-0.06856090194250974,-0.024262909986773665
